,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
356,2011,Nissan,81000,5.0,5,11000,13269,Whitney Point,NY
357,2013,Land Rover,21034,4.0,183,31500,34461,Amherst,NY
358,2014,Ford,26999,4.5,98,23526,26618,Getzville,NY
359,2013,Mazda,20952,4.5,18,10995,12778,Syracuse,NY
360,2013,Dodge,27018,5.0,32,10990,13169,Elbridge,NY
361,2007,Pontiac,120000,4.0,52,3695,5685,Webster,NY
362,2013,Ford,84806,5.0,8,9995,12251,West Seneca,NY
363,2010,Toyota,97724,3.0,25,9982,12552,Oakfield,NY
364,2015,Jeep,8554,4.5,110,23500,26905,Elma,NY
365,2006,Acura,159545,5.0,3,6400,9051,Buffalo,NY
366,2014,Lincoln,22419,3.0,46,21499,25325,Buffalo,NY
367,2010,Ford,48912,3.0,15,10999,14250,Buffalo,NY
368,2008,Ford,122966,5.0,48,16900,23072,Elba,NY
369,2012,GMC,41522,5.0,29,18990,21305,Rochester,NY
370,2012,Ford,90000,5.0,26,5800,8016,Richford,NY
371,2007,Mercury,99294,4.5,91,8695,10741,Alden,NY
372,2009,Chevrolet,92557,3.0,12,14588,18272,Westmoreland,NY
373,2010,Buick,61264,5.0,18,16861,19143,Buffalo,NY
374,2013,Chevrolet,60460,4.5,76,20262,22697,Rome,NY
375,2009,Ford,112100,3.5,90,9999,12565,Rochester,NY
376,2012,Ford,90340,3.5,7,8795,11272,Bridgeport,NY
377,2016,Chevrolet,13339,4.0,140,16985,19656,Oswego,NY
378,2014,Ford,40793,4.5,79,24640,27819,Getzville,NY
379,2016,Toyota,4347,4.5,29,29995,32454,East Syracuse,NY
380,2013,Honda,41652,5.0,86,15900,17672,Syracuse,NY
381,2004,Acura,173100,4.0,2,4500,6796,Spencerport,NY
382,2015,Volkswagen,11329,4.0,80,14999,17709,Ithaca,NY
383,2012,Kia,44579,3.0,9,11995,14488,Elmira,NY
384,2011,Ford,123000,4.0,15,8999,12185,Spencerport,NY
385,2013,Nissan,27632,3.0,101,13927,16328,Orchard Park,NY
386,2013,Toyota,21252,5.0,41,20537,22765,East Rochester,NY
387,2013,Ford,14892,5.0,28,17995,20239,Hornell,NY
388,2013,Volkswagen,72516,4.5,54,9950,11904,Cortland,NY
389,2010,Toyota,131690,4.0,9,6500,8856,Wolcott,NY
390,2014,Jeep,39011,4.5,46,25995,28678,East Syracuse,NY
391,2016,Ford,26759,2.5,108,14000,17751,Niagara Falls,NY
392,2015,Chevrolet,30492,5.0,1,24990,27450,CICERO,NY
393,2013,Chevrolet,48302,3.5,79,13999,16325,Rochester,NY
394,2013,Chevrolet,28696,4.0,45,23738,26750,Williamsville,NY
395,2007,Nissan,111342,4.0,54,6290,8498,Tonawanda,NY
396,2012,Infiniti,41650,4.5,64,19995,22683,Rochester,NY
