,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
1072,2010,Toyota,74000,4.5,64,7995,10372,Hasbrouck Heights,NJ
1073,2012,Nissan,46083,2.0,156,8995,12463,Lindenhurst,NY
1074,2013,Ford,32129,4.5,37,16899,20044,Waterbury,CT
1075,2008,Acura,106396,5.0,3,11995,15241,Oakland Gardens,NY
1076,2011,Infiniti,62214,5.0,20,18999,22202,Warminster,PA
1077,2014,Ford,85500,3.0,70,14995,18814,Naugatuck,CT
1078,2013,Hyundai,25822,3.0,9,9999,12616,Queens,NY
1079,2010,Honda,102794,3.5,22,10990,13773,Brooklyn,NY
1080,2014,Buick,11307,4.5,23,15595,18827,Lodi,NJ
1081,2013,Honda,21212,3.0,9,11495,13850,Queens,NY
1082,2010,Ford,81144,5.0,145,9500,12933,Wallingford,CT
1083,2008,Mercedes-Benz,74410,2.5,59,10995,14371,Morganville,NJ
1084,2008,BMW,112962,3.5,142,5999,9902,Springfield Gardens,NY
1085,2008,Honda,114196,5.0,72,5200,7769,South Richmond Hill,NY
1086,2013,Hyundai,69775,4.0,116,16005,19350,Bethlehem,PA
1087,2013,Dodge,21900,3.0,6,9495,12706,Naugatuck,CT
1088,2010,Volkswagen,66953,4.0,52,11495,13836,Meriden,CT
1089,2016,Nissan,7593,5.0,1,9495,13103,Huntington Station,NY
1090,2009,Honda,64669,3.5,161,11995,14842,Irvington,NJ
1091,2005,Lincoln,139000,5.0,1,5000,8679,Brooklyn,NY
1092,2012,Honda,81176,5.0,64,8875,11263,Madison,CT
1093,2013,Nissan,42874,4.5,215,17995,22255,Sewell,NJ
1094,2013,Ford,13605,4.5,85,16649,19587,Parsippany,NJ
1095,2014,BMW,45992,3.5,3,35895,42837,Great Neck,NY
1096,2006,Toyota,100381,5.0,22,6795,9207,Jersey City,NJ
1097,2015,Mercedes-Benz,15467,4.5,3,69995,79637,Teterboro,NJ
1098,2008,Dodge,149654,5.0,3,6950,10894,Oakland Gardens,NY
1099,2007,Mercedes-Benz,98568,4.5,8,15995,20465,Paterson,NJ
1100,2015,Jeep,7660,4.0,88,31000,35291,Ewing,NJ
1101,2008,Land Rover,55656,3.5,115,19990,24556,Brooklyn,NY
1102,2015,BMW,3310,4.5,88,44991,52391,Perkasie,PA
1103,2013,Ford,44890,4.0,204,22995,27646,Jamaica,NY
1104,2013,Volvo,28817,5.0,62,19954,23791,Norristown,PA
1105,2007,Infiniti,104971,3.0,1,7995,11666,Brooklyn,NY
1106,2015,Cadillac,20681,4.0,38,31497,36305,Lawrenceville,NJ
1107,2005,Ford,140000,3.5,9,2495,5410,Feasterville Trevose,PA
1108,2013,Dodge,99122,4.5,184,8999,11646,East Haven,CT
1109,2010,Mazda,122929,4.5,1,7880,10800,Lakewood,NJ
1110,2013,Ford,90284,4.0,72,16081,19596,Stroudsburg,PA
1111,1999,Toyota,210000,5.0,9,4500,8823,Mount Royal,NJ
1112,2010,Subaru,80845,3.5,15,8900,11572,Philadelphia,PA
1113,2010,Audi,102376,4.0,7,9994,13246,Wynnewood,PA
1114,2011,Infiniti,99300,4.5,7,11995,14482,Southampton,NJ
1115,2013,Nissan,50512,5.0,85,18745,21753,Mount Kisco,NY
1116,2009,GMC,93995,3.0,31,10995,14300,Brooklyn,NY
1117,2014,Ford,45300,3.0,14,16995,21200,Naugatuck,CT
1118,2015,Honda,45579,5.0,58,13995,16426,Milford,CT
1119,2013,Volkswagen,28900,3.0,1,14995,18626,Naugatuck,CT
1120,2008,Chevrolet,131938,5.0,78,2500,5725,South Hackensack Twp,NJ
1121,2014,GMC,36483,4.0,157,15895,18767,Souderton,PA
1122,2009,Mercedes-Benz,81462,3.5,45,11995,15581,Jersey City,NJ
1123,2007,Porsche,65132,4.5,6,28995,39928,Hasbrouck Heights,NJ
1124,2009,Dodge,101000,3.5,203,17450,21319,Modena,NY
1125,2013,Ford,25338,4.5,3,26997,31267,Quakertown,PA
1126,2011,Dodge,57143,5.0,1,6990,9490,Wantagh,NY
1127,2005,Chevrolet,120800,5.0,304,3600,6206,Garfield,NJ
1128,2013,Ford,28536,5.0,226,8975,11631,Paterson,NJ
1129,2013,Dodge,68559,3.0,44,9995,13170,Middle Village,NY
1130,2011,Acura,24500,5.0,13,18996,22061,Brooklyn,NY
1131,2014,Honda,23769,4.0,10,15695,18361,Roslyn,NY
1132,2012,Chevrolet,80055,4.0,25,11999,14625,Norristown,PA
1133,2004,Volvo,160000,3.5,13,1495,4074,Brooklyn,NY
1134,2007,Hyundai,106500,5.0,155,4999,7349,Hillside,NJ
1135,2006,Ford,87001,4.5,1,3995,6447,Linden,NJ
1136,2013,Hyundai,26415,3.5,79,10995,13583,Lindenhurst,NY
1137,2007,Cadillac,81459,3.5,90,5895,9434,Clementon,NJ
1138,2011,Toyota,80026,2.5,57,11993,15531,Jamaica,NY
1139,2010,Ford,182273,1.5,6,4999,9459,Brooklyn,NY
1140,2008,Saturn,133785,4.5,17,5900,8988,Jamesburg,NJ
1141,2014,Ford,21205,3.5,10,22300,30225,Langhorne,PA
1142,2012,Nissan,56061,5.0,1,7995,10855,Rosedale,NY
1143,2013,Subaru,55000,5.0,29,14280,16943,Garfield,NJ
1144,2013,Ford,81300,3.0,14,7995,11363,Naugatuck,CT
1145,2014,Buick,32229,3.5,35,28988,33177,Lynbrook,NY
1146,2013,Subaru,55281,4.5,39,16464,19312,Canton,CT
1147,2008,Honda,45286,4.0,18,9800,12583,Elmhurst,NY
1148,2012,Kia,15777,3.0,23,14981,18053,AVENEL,NJ
1149,2010,Honda,90889,5.0,3,14995,18319,Oakland Gardens,NY
1150,2015,Buick,21340,4.0,207,17895,21460,Souderton,PA
1151,2009,Mercedes-Benz,69117,3.5,79,23895,29535,Lodi,NJ
1152,2012,Toyota,80700,2.5,13,10852,14335,Jamaica,NY
1153,2013,BMW,41287,3.0,57,17837,21401,Queens,NY
1154,2013,GMC,53418,4.0,29,33995,38515,Jamaica,NY
1155,2013,Honda,40358,3.0,13,14880,17875,Long Island City,NY
1156,2013,BMW,12495,4.0,71,47250,52972,Clifton,NJ
1157,2013,Hyundai,34788,3.0,30,14488,17794,Jersey City,NJ
1158,2005,GMC,184672,4.0,130,3495,8013,Portland,CT
1159,2013,Hyundai,105662,4.0,35,8995,12211,Wall Township,NJ
1160,2008,Land Rover,117913,4.0,94,12495,16509,Newark,NJ
1161,2013,Mercedes-Benz,31537,3.5,38,18995,22830,Parsippany,NJ
1162,2012,Nissan,35005,2.5,434,13990,17364,Wallingford,CT
1163,2012,Mercedes-Benz,69750,3.0,388,18995,23235,Little Neck,NY
1164,2012,Nissan,55132,4.0,22,18777,22607,Hillside,NJ
1165,2003,Lexus,129800,3.0,149,6995,10979,Naugatuck,CT
1166,2014,Jeep,49709,3.0,14,22980,26955,Woodside,NY
1167,2014,Toyota,27083,4.0,14,16990,19571,Waterbury,CT
1168,2014,Hyundai,42011,2.5,13,8995,11900,Morganville,NJ
1169,2008,Jeep,135106,4.5,1,8995,11736,Bethlehem,PA
1170,2009,Ford,112000,5.0,54,7995,11138,Lindenhurst,NY
1171,2013,BMW,24297,3.5,28,44982,51630,Kenvil,NJ
1172,2009,Ford,101325,3.5,155,9995,14229,Mount Ephraim,NJ
1173,2015,Ford,25233,4.0,1,15995,19586,East Hartford,CT
1174,2015,Hyundai,27271,3.0,50,11499,14616,Newark,NJ
1175,2007,Ford,147618,2.5,24,2499,5490,Brooklyn,NY
1176,2015,Chevrolet,30404,3.0,154,16500,20748,Middle Village,NY
1177,2009,Nissan,90733,3.0,4,3949,7113,Staten Island,NY
1178,2007,GMC,155597,3.5,162,8998,14459,Ridgewood,NY
1179,2013,Infiniti,20310,5.0,2,27990,32789,Philadelphia,PA
1180,2009,Hyundai,92720,2.5,364,6370,9703,Wallingford,CT
1181,2015,Toyota,18230,5.0,146,15200,18164,South Richmond Hill,NY
1182,2010,Honda,94931,4.0,15,8499,11213,West Babylon,NY
1183,2010,Nissan,42143,4.5,232,12498,15333,Rockaway,NJ
1184,2013,BMW,17562,3.0,15,32977,38251,Bronx,NY
1185,2011,Ram,178999,4.0,169,8995,14779,Kenvil,NJ
1186,2013,Kia,39168,4.0,156,12900,15817,Philadelphia,PA
1187,2011,BMW,17548,4.0,10,25980,29513,East Hartford,CT
1188,2013,Volkswagen,23847,4.0,78,10995,13678,Allentown,PA
1189,2013,Honda,76699,4.0,255,19995,23299,South Hackensack,NJ
1190,2010,Kia,115695,4.0,11,4495,7389,Wallingford,CT
1191,2012,Kia,23900,3.0,58,11995,15053,Naugatuck,CT
1192,2013,Ford,38400,3.0,1,23995,29364,Naugatuck,CT
1193,2011,Buick,64541,3.5,86,9595,12429,Irvington,NJ
1194,2005,Ford,124980,5.0,28,4800,7157,Jackson,NJ
1195,2005,Honda,115000,5.0,27,5500,8265,Brooklyn,NY
1196,2013,BMW,35889,3.0,106,18495,21973,Manalapan,NJ
1197,2006,Scion,67000,5.0,10,4800,7630,Springfield,PA
1198,2016,Ford,12547,5.0,92,17999,22072,Brooklyn,NY
1199,2010,Ford,128900,3.0,18,13995,19149,Naugatuck,CT
1200,2012,Mazda,41533,3.0,191,10000,12692,Bohemia,NY
1201,2006,BMW,81872,4.0,31,7999,10971,Brooklyn,NY
1202,2007,Chevrolet,65201,3.0,1,8995,13589,Bethlehem,PA
1203,2010,Dodge,78600,3.0,28,6995,10568,Naugatuck,CT
1204,2015,Volkswagen,32858,3.0,10,9995,13061,Newark,NJ
1205,2011,BMW,52528,3.5,37,13999,17318,Fairfield,CT
1206,2015,Ford,25578,5.0,33,10900,13653,Hackensack,NJ
1207,2012,Nissan,102883,4.0,15,12995,17049,Branchville,NJ
1208,2015,Nissan,21797,4.5,81,16995,20239,Queens Village,NY
1209,2012,Honda,39296,2.0,504,8947,11878,Waterbury,CT
1210,2010,BMW,54321,3.0,16,11895,15804,Lodi,NJ
1211,2011,Ford,53900,3.0,18,8995,12260,Naugatuck,CT
1212,2013,Chevrolet,75800,3.0,65,16995,20824,Naugatuck,CT
1213,2014,Subaru,27888,3.0,24,26488,30912,Jersey City,NJ
1214,2013,Toyota,60053,3.5,84,9900,12672,Rahway,NJ
1215,2013,Hyundai,38741,4.0,93,14980,18676,Westbury,NY
1216,2011,Ram,58644,4.0,146,21900,25855,Bridgeport,CT
1217,2013,Infiniti,37555,5.0,56,39996,45080,Brooklyn,NY
1218,2008,Nissan,139300,5.0,84,6700,9312,Hamilton,NJ
1219,2015,Honda,23280,3.0,5,16995,19945,Bayside,NY
1220,2007,Mercedes-Benz,95054,4.0,268,7695,11229,Newark,NJ
1221,2013,Mercedes-Benz,44277,5.0,162,27990,32654,Passaic,NJ
1222,2016,Nissan,1407,4.0,110,18900,25655,Hollis,NY
1223,2007,Acura,102605,4.5,224,6995,10596,South River,NJ
1224,2005,Chevrolet,136565,4.5,8,6495,9569,Inwood,NY
1225,2011,Chrysler,50857,5.0,27,14000,17344,Stony Point,NY
1226,2011,BMW,44379,3.0,41,19998,24324,Leonia,NJ
1227,2015,Ford,8237,4.0,148,25499,31930,Egg Harbor Township,NJ
1228,2014,Mercedes-Benz,17614,5.0,108,29998,34821,Jamaica,NY
1229,2014,Hyundai,30786,3.0,246,10985,14038,Richmond Hill,NY
1230,2012,Subaru,83500,5.0,62,10495,12844,Danbury,CT
1231,2011,Nissan,92476,5.0,55,9452,12259,Trenton,NJ
1232,2013,Cadillac,32177,4.0,7,27976,32291,Waterbury,CT
1233,2015,Chevrolet,25830,3.5,44,11995,14992,Lindenhurst,NY
1234,2015,Chevrolet,37737,4.5,50,18942,25873,Carlstadt,NJ
1235,2013,Honda,26746,4.5,1,11481,13627,Long Island City,NY
1236,2013,Honda,32850,2.0,106,18010,21349,Glen Head,NY
1237,2013,Hyundai,65825,4.5,42,18995,22159,Southampton,NJ
1238,2012,Toyota,93100,3.0,18,17995,22378,Naugatuck,CT
1239,2016,Cadillac,16649,3.5,1,26495,33724,Paoli,PA
1240,2011,Volkswagen,66900,3.0,35,5995,8913,Naugatuck,CT
1241,2014,Ford,31315,3.5,151,9689,12711,Upper Saddle River,NJ
1242,2008,Jeep,110709,5.0,3,4995,7320,Jersey City,NJ
1243,2013,Mazda,97470,3.5,40,14495,17096,Newton,NJ
1244,2014,Toyota,36435,5.0,1,11995,14301,Rosedale,NY
1245,2015,Dodge,42353,3.5,130,9289,12544,Brooklyn,NY
1246,2014,Infiniti,24633,5.0,249,21995,27021,Huntington Station,NY
1247,2009,Infiniti,73679,5.0,151,11999,14451,Lakewood,NJ
1248,2011,Mercedes-Benz,52000,3.0,37,18775,22634,Little Neck,NY
1249,2010,Chevrolet,126000,4.5,102,9400,12438,Bloomfield,NJ
1250,2010,Chrysler,111331,4.0,1,8995,11685,Glenolden,PA
1251,2013,GMC,38695,4.0,57,30494,33878,Milford,CT
1252,2011,Kia,67880,2.5,301,5000,7530,Wallingford,CT
1253,2010,Acura,37700,3.5,74,13400,16585,Hicksville,NY
1254,2014,Nissan,39129,4.0,28,9271,12105,Palisades Park,NJ
1255,2016,Toyota,10536,5.0,1,17800,19660,Staten Island,NY
1256,2016,Chevrolet,4491,3.5,157,12495,16579,Bronx,NY
1257,2014,Jeep,44951,3.0,93,18994,22942,Nanuet,NY
1258,2013,Lexus,24521,4.5,85,24925,28643,East Hartford,CT
1259,2010,Toyota,102230,3.0,67,6999,9597,Freeport,NY
1260,2014,Ford,5742,3.5,115,10841,13778,Burlington,NJ
1261,2013,Subaru,86927,2.0,112,11995,14297,Mongaup Valley,NY
1262,2011,BMW,67622,3.5,42,21982,26140,Kenvil,NJ
1263,2008,Chevrolet,101500,3.0,97,5995,9079,Naugatuck,CT
1264,2016,Mercedes-Benz,8807,3.5,3,41995,51780,Great Neck,NY
